Year,"World, Female","World, Male","United States, Female","United States, Male","United Kingdom, Female","United Kingdom, Male","Australia, Female","Australia, Male","France, Female","France, Male"
2016,15.1,11.1,37,35.5,28.6,26.9,28.4,29.6,21.1,22
2015,14.7,10.8,36.4,34.7,28.1,26.2,27.9,28.9,20.8,21.5
2014,14.4,10.4,35.7,34,27.6,25.5,27.4,28.3,20.5,21
2013,14.1,10.1,35.1,33.3,27,24.9,26.9,27.7,20.3,20.5
2012,13.8,9.8,34.5,32.6,26.5,24.3,26.4,27,20,20.1
2011,13.5,9.5,33.9,31.9,26,23.6,25.9,26.4,19.7,19.6
2010,13.2,9.4,33.3,31.2,25.4,23,25.4,25.8,19.5,19.2
2009,13.2,8.9,32.7,30.5,24.9,22.4,24.9,25.2,19.2,18.7
2008,12.9,8.6,32.1,29.8,24.3,21.8,24.5,24.6,18.9,18.2
2007,12.3,8.4,31.5,29.1,23.8,21.1,24,24,18.6,17.8
2006,12.1,8.1,30.9,28.4,23.3,20.5,23.5,23.5,18.4,17.4
2005,11.8,7.8,30.2,27.7,22.7,19.9,23,22.9,18.1,16.9
2004,11.6,7.6,29.6,27,22.2,19.3,22.5,22.3,17.8,16.5
2003,11.3,7.3,28.9,26.3,21.7,18.8,22,21.7,17.5,16.1
2002,11.1,7.1,28.3,25.5,21.2,18.2,21.5,21.1,17.3,15.6
2001,10.8,6.9,27.6,24.8,20.6,17.6,21,20.5,17,15.2
2000,10.5,6.7,26.9,24,20.1,17.1,20.5,19.9,16.7,14.8
1999,10.4,6.5,26.2,23.3,19.6,16.5,19.9,19.3,16.4,14.4
1998,10.2,6.2,25.5,22.5,19.1,16,19.4,18.8,16.1,14
1997,9.8,6.1,24.8,21.8,18.7,15.5,18.9,18.2,15.9,13.6
1996,9.6,5.9,24.1,21,18.2,15,18.5,17.7,15.6,13.2
1995,9.4,5.7,23.4,20.3,17.7,14.5,18,17.1,15.3,12.8
1994,9.3,5.6,22.7,19.6,17.3,14,17.5,16.6,15,12.4
1993,9.1,5.3,22,18.9,16.8,13.6,17.1,16.1,14.8,12.1
1992,9,5.2,21.4,18.3,16.4,13.2,16.7,15.6,14.5,11.7
1991,8.8,5.1,20.8,17.6,16,12.7,16.2,15.2,14.3,11.4
1990,8.6,5,20.2,17,15.6,12.4,15.8,14.7,14,11
1989,8.4,4.7,19.6,16.4,15.2,12,15.5,14.3,13.8,10.7
1988,8.3,4.5,19,15.9,14.8,11.6,15.1,13.9,13.5,10.4
1987,8.1,4.6,18.5,15.3,14.5,11.3,14.7,13.5,13.3,10.1
1986,7.9,4.4,17.9,14.8,14.1,10.9,14.4,13.2,13.1,9.7
1985,7.8,4.3,17.4,14.3,13.8,10.6,14.1,12.8,12.9,9.4
1984,7.6,4.2,16.9,13.8,13.5,10.3,13.7,12.4,12.6,9.2
1983,7.5,4,16.5,13.4,13.1,10,13.4,12.1,12.4,8.9
1982,7.3,3.9,16,12.9,12.8,9.7,13.1,11.8,12.2,8.6
1981,7.1,3.6,15.6,12.5,12.5,9.4,12.8,11.5,12,8.3
1980,7.1,3.7,15.2,12.1,12.2,9.1,12.6,11.2,11.8,8.1
1979,6.8,3.3,14.8,11.7,11.9,8.8,12.3,10.8,11.6,7.8
1978,6.8,3.2,14.4,11.4,11.6,8.6,12,10.6,11.4,7.5
1977,6.6,3.4,14,11,11.3,8.3,11.7,10.3,11.1,7.3
1976,6.4,3.3,13.6,10.7,11,8.1,11.5,10,10.9,7
1975,6.4,3.2,13.3,10.3,10.8,7.8,11.2,9.7,10.7,6.7